MatchID,Div,Season,Date,Time,HomeTeam,AwayTeam,HomeGoals,AwayGoals,TotalGoals,AvgLess25,AvgMore25
1,E0,Season 2015/16,2015-08-08,0.2857142857142857,Bournemouth,Aston Villa,0,1,1,1.79,2.02
2,E0,Season 2015/16,2015-08-08,0.2857142857142857,Chelsea,Swansea,2,2,4,1.99,1.8
3,E0,Season 2015/16,2015-08-08,0.2857142857142857,Everton,Watford,2,2,4,1.96,1.84
4,E0,Season 2015/16,2015-08-08,0.2857142857142857,Leicester,Sunderland,4,2,6,1.67,2.18
5,E0,Season 2015/16,2015-08-08,0.2857142857142857,Man United,Tottenham,1,0,1,2.01,1.79
6,E0,Season 2015/16,2015-08-08,0.2857142857142857,Norwich,Crystal Palace,1,3,4,1.67,2.18
7,E0,Season 2015/16,2015-08-09,0.5714285714285714,Arsenal,West Ham,0,2,2,2.22,1.64
8,E0,Season 2015/16,2015-08-09,0.5714285714285714,Newcastle,Southampton,2,2,4,1.7,2.14
9,E0,Season 2015/16,2015-08-09,0.5714285714285714,Stoke,Liverpool,0,1,1,1.75,2.06
10,E0,Season 2015/16,2015-08-10,0.8571428571428571,West Brom,Man City,0,3,3,2.04,1.77
11,E0,Season 2015/16,2015-08-14,2,Aston Villa,Man United,0,1,1,1.71,2.11
12,E0,Season 2015/16,2015-08-15,2.2857142857142856,Southampton,Everton,0,3,3,1.68,2.16
13,E0,Season 2015/16,2015-08-15,2.2857142857142856,Sunderland,Norwich,1,3,4,1.63,2.26
14,E0,Season 2015/16,2015-08-15,2.2857142857142856,Swansea,Newcastle,2,0,2,1.86,1.94
15,E0,Season 2015/16,2015-08-15,2.2857142857142856,Tottenham,Stoke,2,2,4,1.87,1.93
16,E0,Season 2015/16,2015-08-15,2.2857142857142856,Watford,West Brom,0,0,0,1.71,2.12
17,E0,Season 2015/16,2015-08-15,2.2857142857142856,West Ham,Leicester,1,2,3,1.9,1.9
18,E0,Season 2015/16,2015-08-16,2.5714285714285716,Crystal Palace,Arsenal,1,2,3,1.96,1.84
19,E0,Season 2015/16,2015-08-16,2.5714285714285716,Man City,Chelsea,3,0,3,1.82,1.98
20,E0,Season 2015/16,2015-08-17,2.857142857142857,Liverpool,Bournemouth,1,0,1,2.05,1.75
21,E0,Season 2015/16,2015-08-22,4.285714285714286,Crystal Palace,Aston Villa,2,1,3,1.73,2.08
22,E0,Season 2015/16,2015-08-22,4.285714285714286,Leicester,Tottenham,1,1,2,1.97,1.78
23,E0,Season 2015/16,2015-08-22,4.285714285714286,Man United,Newcastle,0,0,0,2.06,1.74
24,E0,Season 2015/16,2015-08-22,4.285714285714286,Norwich,Stoke,1,1,2,1.69,2.14
25,E0,Season 2015/16,2015-08-22,4.285714285714286,Sunderland,Swansea,1,1,2,1.67,2.18
26,E0,Season 2015/16,2015-08-22,4.285714285714286,West Ham,Bournemouth,3,4,7,1.89,1.9
27,E0,Season 2015/16,2015-08-23,4.571428571428571,Everton,Man City,0,2,2,2.2,1.66
28,E0,Season 2015/16,2015-08-23,4.571428571428571,Watford,Southampton,0,0,0,1.7,2.13
29,E0,Season 2015/16,2015-08-23,4.571428571428571,West Brom,Chelsea,2,3,5,1.74,2.07
30,E0,Season 2015/16,2015-08-24,4.857142857142857,Arsenal,Liverpool,0,0,0,2.02,1.77
31,E0,Season 2015/16,2015-08-29,6.285714285714286,Aston Villa,Sunderland,2,2,4,1.64,2.22
32,E0,Season 2015/16,2015-08-29,6.285714285714286,Bournemouth,Leicester,1,1,2,1.94,1.86
33,E0,Season 2015/16,2015-08-29,6.285714285714286,Chelsea,Crystal Palace,1,2,3,2.15,1.68
34,E0,Season 2015/16,2015-08-29,6.285714285714286,Liverpool,West Ham,0,3,3,2.17,1.68
35,E0,Season 2015/16,2015-08-29,6.285714285714286,Man City,Watford,2,0,2,2.98,1.37
36,E0,Season 2015/16,2015-08-29,6.285714285714286,Newcastle,Arsenal,0,1,1,2,1.8
